onzes inziens	bijwoord
overigens	bijwoord
overwegend	bijwoord
plichtshalve	bijwoord
quasi	bijwoord
recentelijk	bijwoord
rechtens	bijwoord
reeds	bijwoord
slechts	bijwoord
somtijds	bijwoord
te onzent	bijwoord
telkenmale	bijwoord
ten minste	bijwoord
ten principale	bijwoord
ten volle	bijwoord
terdege	bijwoord
terstond	bijwoord
terzijde	bijwoord
tevens	bijwoord
tevoren	bijwoord
tezamen	bijwoord
thans	bijwoord
toentertijd	bijwoord
uiteraard	bijwoord
ultimo	bijwoord
uwenthalve	bijwoord
uwentwege	bijwoord
uwerzijds	bijwoord
veelal	bijwoord
veiligheidshalve	bijwoord
volgaarne	bijwoord
volledigheidshalve	bijwoord
voorafgaandelijk	bijwoord
vooralsnog	bijwoord
voorheen	bijwoord
voorshands	bijwoord
voorts	bijwoord
voorzichtigheidshalve	bijwoord
vrijwel	bijwoord
wederom	bijwoord
weliswaar	bijwoord
wellicht	bijwoord
willens en wetens	bijwoord
zekerheidshalve	bijwoord
zijdelings	bijwoord
zodoende	bijwoord
al dan niet	bijwoordgroep
aangezien	voegwoord
alhoewel	voegwoord
als ware	voegwoord
alsmede	voegwoord
alsook	voegwoord
alvorens	voegwoord
dan wel	voegwoord
hoewel	voegwoord
indien	voegwoord
ingeval	voegwoord
inzake	voegwoord
mits	voegwoord
naargelang	voegwoord
ofschoon	voegwoord
oftewel	voegwoord
opdat	voegwoord
sedert	voegwoord
teneinde	voegwoord
tenzij	voegwoord
vooraleer	voegwoord
alwaar	voornaamwoord
degeen	voornaamwoord
dergelijke	voornaamwoord
eenzelfde	voornaamwoord
eerdergenoemde	voornaamwoord
enige	voornaamwoord
enigerlei	voornaamwoord
ettelijke	voornaamwoord
hetgeen	voornaamwoord
hetwelk	voornaamwoord
hiernavolgende	voornaamwoord
hogergenoemde	voornaamwoord
menigeen	voornaamwoord
nevenstaande	voornaamwoord
quod non	voornaamwoord
u	voornaamwoord
uw	voornaamwoord
verscheidene	voornaamwoord
voorliggend	voornaamwoord
voormeld	voornaamwoord
vorenbedoelde	voornaamwoord
waaromtrent	voornaamwoord
weshalve	voornaamwoord
wiens	voornaamwoord
zodanig	voornaamwoord
zulks	voornaamwoord
een en ander	voornaamwoordgroep
aangaande	voorzetsel
behoudens	voorzetsel
benevens	voorzetsel
betreffende	voorzetsel
blijkens	voorzetsel
conform	voorzetsel
gedurende	voorzetsel
gezien	voorzetsel
hangende	voorzetsel
ingevolge	voorzetsel
jegens	voorzetsel
krachtens	voorzetsel
middels	voorzetsel
niettegenstaande	voorzetsel
nopens	voorzetsel
omtrent	voorzetsel
ongeacht	voorzetsel
overeenkomstig	voorzetsel
qua	voorzetsel
ter zake	voorzetsel
wat betreft	voorzetsel
zijdens	voorzetsel
a posteriori	voorzetselgroep
a priori 	voorzetselgroep
aan de hand van	voorzetselgroep
aan het adres van	voorzetselgroep
ad hoc	voorzetselgroep
afgezien van 	voorzetselgroep
als gevolg van	voorzetselgroep
als zodanig	voorzetselgroep
bij brief	voorzetselgroep
bij de gratie van	voorzetselgroep
bij dezen	voorzetselgroep
bij gebrek aan	voorzetselgroep
bij gelegenheid	voorzetselgroep
bij monde van	voorzetselgroep
bij wijze van	voorzetselgroep
buiten medeweten van	voorzetselgroep
casu quo	voorzetselgroep
cum suis	voorzetselgroep
de dato	voorzetselgroep
de facto	voorzetselgroep
der	voorzetselgroep
dezer dagen	voorzetselgroep
door gebrek aan	voorzetselgroep
door middel van	voorzetselgroep
door toedoen van	voorzetselgroep
gedurende de tijd dat	voorzetselgroep
gezien het feit dat	voorzetselgroep
heden ten dage	voorzetselgroep
in beginsel	voorzetselgroep
in casu	voorzetselgroep
in concreto	voorzetselgroep
in de eerste instantie	voorzetselgroep
in de loop van	voorzetselgroep
in de nabije toekomst	voorzetselgroep
in de nabijheid van	voorzetselgroep
in de richting van	voorzetselgroep
in de sfeer van	voorzetselgroep
in de trant van	voorzetselgroep
in de zin van	voorzetselgroep
in dezen	voorzetselgroep
in dier voege	voorzetselgroep
in duplo	voorzetselgroep
in een poging om	voorzetselgroep
in eigendom van	voorzetselgroep
in geval van	voorzetselgroep
in goede orde	voorzetselgroep
in het geval dat	voorzetselgroep
in het kader van	voorzetselgroep
in het licht van	voorzetselgroep
in het merendeel van de gevallen	voorzetselgroep
in mindere mate	voorzetselgroep
in naam van	voorzetselgroep
in opdracht van	voorzetselgroep
in oude luister	voorzetselgroep
in overeenstemming met	voorzetselgroep
in overleg met	voorzetselgroep
in reactie op	voorzetselgroep
in samenwerking met	voorzetselgroep
in situ	voorzetselgroep
in strijd met	voorzetselgroep
